#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,event_id,gmv_PGA
181,0,1.01399E-02
182,0,1.01848E-02
183,0,1.02245E-02
184,0,1.02590E-02
185,0,1.02881E-02
186,0,1.03118E-02
187,0,1.03300E-02
188,0,1.03427E-02
189,0,1.03498E-02
190,0,1.03512E-02
191,0,1.03471E-02
192,0,1.03374E-02
193,0,1.03221E-02
194,0,1.03012E-02
195,0,1.02749E-02
196,0,1.02442E-02
197,0,1.02122E-02
198,0,1.01794E-02
199,0,1.01458E-02
200,0,1.01112E-02
201,0,1.00726E-02
202,0,1.00291E-02
203,0,9.98057E-03
204,0,9.92730E-03
205,0,9.86937E-03
206,0,9.80691E-03
207,0,9.74015E-03
208,0,9.66923E-03
209,0,9.59432E-03
210,0,9.82369E-03
211,0,9.89707E-03
212,0,9.96618E-03
213,0,1.00308E-02
214,0,1.00909E-02
215,0,1.01462E-02
216,0,1.01966E-02
217,0,1.02419E-02
218,0,1.02820E-02
219,0,1.03169E-02
220,0,1.03463E-02
221,0,1.03702E-02
222,0,1.03887E-02
223,0,1.04014E-02
224,0,1.04086E-02
225,0,1.04101E-02
226,0,1.04059E-02
227,0,1.03960E-02
228,0,1.03806E-02
229,0,1.03595E-02
230,0,1.03330E-02
231,0,1.03039E-02
232,0,1.02739E-02
233,0,1.02430E-02
234,0,1.02113E-02
235,0,1.01773E-02
236,0,1.01384E-02
237,0,1.00943E-02
238,0,1.00453E-02
239,0,9.99133E-03
240,0,9.93276E-03
241,0,9.86962E-03
242,0,9.80206E-03
243,0,9.73037E-03
244,0,9.65457E-03
245,0,9.87210E-03
246,0,9.94613E-03
247,0,1.00158E-02
248,0,1.00811E-02
249,0,1.01417E-02
250,0,1.01975E-02
251,0,1.02483E-02
252,0,1.02941E-02
253,0,1.03345E-02
254,0,1.03697E-02
255,0,1.03994E-02
256,0,1.04236E-02
257,0,1.04422E-02
258,0,1.04550E-02
259,0,1.04623E-02
260,0,1.04638E-02
261,0,1.04595E-02
262,0,1.04496E-02
263,0,1.04340E-02
264,0,1.04128E-02
265,0,1.03869E-02
266,0,1.03599E-02
267,0,1.03319E-02
268,0,1.03030E-02
269,0,1.02730E-02
270,0,1.02388E-02
271,0,1.01994E-02
272,0,1.01549E-02
273,0,1.01053E-02
274,0,1.00508E-02
275,0,9.99161E-03
276,0,9.92780E-03
277,0,9.85953E-03
278,0,9.78708E-03
279,0,9.71049E-03
280,0,9.91574E-03
281,0,9.99035E-03
282,0,1.00606E-02
283,0,1.01264E-02
284,0,1.01875E-02
285,0,1.02437E-02
286,0,1.02950E-02
287,0,1.03411E-02
288,0,1.03819E-02
289,0,1.04173E-02
290,0,1.04473E-02
291,0,1.04717E-02
292,0,1.04904E-02
293,0,1.05034E-02
294,0,1.05107E-02
295,0,1.05122E-02
296,0,1.05079E-02
297,0,1.04979E-02
298,0,1.04821E-02
299,0,1.04608E-02
300,0,1.04368E-02
301,0,1.04119E-02
302,0,1.03860E-02
303,0,1.03591E-02
304,0,1.03299E-02
305,0,1.02954E-02
306,0,1.02556E-02
307,0,1.02107E-02
308,0,1.01606E-02
309,0,1.01055E-02
310,0,1.00458E-02
311,0,9.98132E-03
312,0,9.91240E-03
313,0,9.83925E-03
314,0,9.76197E-03
315,0,9.95450E-03
316,0,1.00296E-02
317,0,1.01004E-02
318,0,1.01667E-02
319,0,1.02282E-02
320,0,1.02848E-02
321,0,1.03364E-02
322,0,1.03828E-02
323,0,1.04240E-02
324,0,1.04597E-02
325,0,1.04898E-02
326,0,1.05144E-02
