#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:07:23', checksum=1184076472"
site_id,lon,lat
76,107.35023,-7.04092
77,107.35023,-7.05890
78,107.35023,-7.07689
79,107.35023,-7.09488
80,107.35023,-7.11286
81,107.35024,-7.13085
82,107.35024,-7.14884
83,107.35024,-7.16682
84,107.35024,-7.18481
85,107.35025,-7.20280
86,107.35025,-7.22078
87,107.35025,-7.23877
88,107.35025,-7.25676
89,107.35025,-7.27474
90,107.35026,-7.29273
91,107.35026,-7.31071
92,107.35026,-7.32870
93,107.35026,-7.34669
94,107.35026,-7.36467
95,107.35027,-7.38266
96,107.35027,-7.40065
97,107.35027,-7.41863
98,107.35027,-7.43662
99,107.35028,-7.45461
100,107.35028,-7.47259
101,107.35028,-7.49058
102,107.35028,-7.50857
103,107.35028,-7.52655
104,107.35029,-7.54454
105,107.36833,-6.93300
106,107.36834,-6.95099
107,107.36834,-6.96897
108,107.36834,-6.98696
109,107.36834,-7.00495
110,107.36835,-7.02293
111,107.36835,-7.04092
112,107.36835,-7.05890
113,107.36835,-7.07689
114,107.36836,-7.09488
115,107.36836,-7.11286
116,107.36836,-7.13085
117,107.36837,-7.14884
118,107.36837,-7.16682
119,107.36837,-7.18481
120,107.36837,-7.20280
121,107.36838,-7.22078
122,107.36838,-7.23877
123,107.36838,-7.25676
124,107.36839,-7.27474
125,107.36839,-7.29273
126,107.36839,-7.31071
127,107.36840,-7.32870
128,107.36840,-7.34669
129,107.36840,-7.36467
130,107.36840,-7.38266
131,107.36841,-7.40065
132,107.36841,-7.41863
133,107.36841,-7.43662
134,107.36842,-7.45461
135,107.36842,-7.47259
136,107.36842,-7.49058
137,107.36842,-7.50857
138,107.36843,-7.52655
139,107.36843,-7.54454
140,107.38645,-6.93300
141,107.38645,-6.95099
142,107.38646,-6.96897
143,107.38646,-6.98696
144,107.38647,-7.00495
145,107.38647,-7.02293
146,107.38647,-7.04092
147,107.38648,-7.05890
148,107.38648,-7.07689
149,107.38648,-7.09488
150,107.38649,-7.11286
151,107.38649,-7.13085
152,107.38649,-7.14884
153,107.38650,-7.16682
154,107.38650,-7.18481
155,107.38650,-7.20280
156,107.38651,-7.22078
157,107.38651,-7.23877
158,107.38652,-7.25676
159,107.38652,-7.27474
160,107.38652,-7.29273
161,107.38653,-7.31071
162,107.38653,-7.32870
163,107.38653,-7.34669
164,107.38654,-7.36467
165,107.38654,-7.38266
166,107.38654,-7.40065
167,107.38655,-7.41863
168,107.38655,-7.43662
169,107.38656,-7.45461
170,107.38656,-7.47259
171,107.38656,-7.49058
172,107.38657,-7.50857
173,107.38657,-7.52655
174,107.38657,-7.54454
175,107.40457,-6.93300
176,107.40457,-6.95099
177,107.40458,-6.96897
178,107.40458,-6.98696
179,107.40459,-7.00495
180,107.40459,-7.02293
181,107.40460,-7.04092
182,107.40460,-7.05890
183,107.40460,-7.07689
184,107.40461,-7.09488
185,107.40461,-7.11286
186,107.40462,-7.13085
187,107.40462,-7.14884
188,107.40463,-7.16682
189,107.40463,-7.18481
190,107.40463,-7.20280
191,107.40464,-7.22078
192,107.40464,-7.23877
193,107.40465,-7.25676
194,107.40465,-7.27474
195,107.40466,-7.29273
196,107.40466,-7.31071
197,107.40466,-7.32870
198,107.40467,-7.34669
199,107.40467,-7.36467
200,107.40468,-7.38266
201,107.40468,-7.40065
202,107.40469,-7.41863
203,107.40469,-7.43662
204,107.40470,-7.45461
205,107.40470,-7.47259
206,107.40470,-7.49058
207,107.40471,-7.50857
208,107.40471,-7.52655
209,107.40472,-7.54454
210,107.42269,-6.93300
211,107.42269,-6.95099
212,107.42270,-6.96897
213,107.42270,-6.98696
214,107.42271,-7.00495
215,107.42271,-7.02293
216,107.42272,-7.04092
