#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:16:28', checksum=4043280846"
site_id,event_id,gmv_PGA
520,0,7.28008E-01
521,0,7.23697E-01
522,0,7.19080E-01
523,0,7.14173E-01
524,0,7.08981E-01
525,0,7.14701E-01
526,0,7.19647E-01
527,0,7.24300E-01
528,0,7.28652E-01
529,0,7.32691E-01
530,0,7.36404E-01
531,0,7.39787E-01
532,0,7.42826E-01
533,0,7.45518E-01
534,0,7.47852E-01
535,0,7.49823E-01
536,0,7.51427E-01
537,0,7.52659E-01
538,0,7.53681E-01
539,0,7.54312E-01
540,0,7.54561E-01
541,0,7.54505E-01
542,0,7.54355E-01
543,0,7.54118E-01
544,0,7.53795E-01
545,0,7.53368E-01
546,0,7.52617E-01
547,0,7.51477E-01
548,0,7.49953E-01
549,0,7.48052E-01
550,0,7.45779E-01
551,0,7.43141E-01
552,0,7.40149E-01
553,0,7.36809E-01
554,0,7.33131E-01
555,0,7.29128E-01
556,0,7.24806E-01
557,0,7.20178E-01
558,0,7.15259E-01
559,0,7.10054E-01
560,0,7.14851E-01
561,0,7.19799E-01
562,0,7.24453E-01
563,0,7.28806E-01
564,0,7.32847E-01
565,0,7.36561E-01
566,0,7.39945E-01
567,0,7.42985E-01
568,0,7.45678E-01
569,0,7.48013E-01
570,0,7.49985E-01
571,0,7.51589E-01
572,0,7.52821E-01
573,0,7.53676E-01
574,0,7.54153E-01
575,0,7.54433E-01
576,0,7.54531E-01
577,0,7.54555E-01
578,0,7.54499E-01
579,0,7.54359E-01
580,0,7.54023E-01
581,0,7.53297E-01
582,0,7.52179E-01
583,0,7.50674E-01
584,0,7.48788E-01
585,0,7.46525E-01
586,0,7.43895E-01
587,0,7.40908E-01
588,0,7.37569E-01
589,0,7.33891E-01
590,0,7.29885E-01
591,0,7.25559E-01
592,0,7.20925E-01
593,0,7.15998E-01
594,0,7.10786E-01
595,0,7.14656E-01
596,0,7.19602E-01
597,0,7.24253E-01
598,0,7.28604E-01
599,0,7.32642E-01
600,0,7.36355E-01
601,0,7.39736E-01
602,0,7.42775E-01
603,0,7.45466E-01
604,0,7.47800E-01
605,0,7.49770E-01
606,0,7.51373E-01
607,0,7.52604E-01
608,0,7.53458E-01
609,0,7.53935E-01
610,0,7.54119E-01
611,0,7.54220E-01
612,0,7.54428E-01
613,0,7.54537E-01
614,0,7.54553E-01
615,0,7.54244E-01
616,0,7.53545E-01
617,0,7.52454E-01
618,0,7.50974E-01
619,0,7.49111E-01
620,0,7.46867E-01
621,0,7.44253E-01
622,0,7.41278E-01
623,0,7.37948E-01
624,0,7.34275E-01
625,0,7.30273E-01
626,0,7.25949E-01
627,0,7.21315E-01
628,0,7.16387E-01
629,0,7.11172E-01
630,0,7.14118E-01
631,0,7.19056E-01
632,0,7.23701E-01
633,0,7.28046E-01
634,0,7.32078E-01
635,0,7.35785E-01
636,0,7.39161E-01
637,0,7.42196E-01
638,0,7.44882E-01
639,0,7.47213E-01
640,0,7.49180E-01
641,0,7.50781E-01
642,0,7.52009E-01
643,0,7.52862E-01
644,0,7.53349E-01
645,0,7.53678E-01
646,0,7.53936E-01
647,0,7.54121E-01
648,0,7.54234E-01
649,0,7.54343E-01
650,0,7.54044E-01
651,0,7.53363E-01
652,0,7.52297E-01
653,0,7.50844E-01
654,0,7.49009E-01
655,0,7.46792E-01
656,0,7.44202E-01
657,0,7.41247E-01
658,0,7.37935E-01
659,0,7.34277E-01
660,0,7.30286E-01
661,0,7.25971E-01
662,0,7.21344E-01
