site_id,event_id,gmv_PGA,Longitude,Latitude
206,0,0.698569,107.4047,-7.49058
207,0,0.694234,107.40471,-7.50857
208,0,0.689623,107.40471,-7.52655
209,0,0.684746,107.40472,-7.54454
210,0,0.698868,107.42269,-6.933
211,0,0.703715,107.42269,-6.95099
212,0,0.708272,107.4227,-6.96897
213,0,0.712529,107.4227,-6.98696
214,0,0.716477,107.42271,-7.00495
215,0,0.720102,107.42271,-7.02293
216,0,0.723403,107.42272,-7.04092
217,0,0.726366,107.42272,-7.0589
218,0,0.728991,107.42273,-7.07689
219,0,0.731266,107.42273,-7.09488
220,0,0.73319,107.42274,-7.11286
221,0,0.734757,107.42274,-7.13085
222,0,0.735964,107.42275,-7.14884
223,0,0.736806,107.42275,-7.16682
224,0,0.737285,107.42276,-7.18481
225,0,0.737396,107.42276,-7.2028
226,0,0.737143,107.42277,-7.22078
227,0,0.736522,107.42277,-7.23877
228,0,0.73554,107.42278,-7.25676
229,0,0.734196,107.42278,-7.27474
230,0,0.7325,107.42279,-7.29273
231,0,0.730636,107.42279,-7.31071
232,0,0.728712,107.4228,-7.3287
233,0,0.726727,107.4228,-7.34669
234,0,0.724687,107.42281,-7.36467
235,0,0.722506,107.42281,-7.38266
236,0,0.719997,107.42282,-7.40065
237,0,0.717155,107.42282,-7.41863
238,0,0.713989,107.42283,-7.43662
239,0,0.710504,107.42283,-7.45461
240,0,0.706715,107.42284,-7.47259
241,0,0.702624,107.42285,-7.49058
242,0,0.698242,107.42285,-7.50857
243,0,0.693586,107.42286,-7.52655
244,0,0.688657,107.42286,-7.54454
245,0,0.701797,107.44081,-6.933
246,0,0.706702,107.44081,-6.95099
247,0,0.711315,107.44082,-6.96897
248,0,0.715628,107.44082,-6.98696
249,0,0.719628,107.44083,-7.00495
250,0,0.723303,107.44084,-7.02293
251,0,0.726645,107.44084,-7.04092
252,0,0.729648,107.44085,-7.0589
253,0,0.732305,107.44085,-7.07689
254,0,0.734611,107.44086,-7.09488
255,0,0.736557,107.44086,-7.11286
256,0,0.738145,107.44087,-7.13085
257,0,0.739367,107.44088,-7.14884
258,0,0.74022,107.44088,-7.16682
259,0,0.740706,107.44089,-7.18481
260,0,0.740821,107.44089,-7.2028
261,0,0.740567,107.4409,-7.22078
262,0,0.739943,107.4409,-7.23877
263,0,0.738954,107.44091,-7.25676
264,0,0.737601,107.44092,-7.27474
265,0,0.73595,107.44092,-7.29273
266,0,0.734221,107.44093,-7.31071
267,0,0.732427,107.44093,-7.3287
268,0,0.730574,107.44094,-7.34669
269,0,0.728651,107.44095,-7.36467
270,0,0.726457,107.44095,-7.38266
271,0,0.723924,107.44096,-7.40065
272,0,0.721054,107.44096,-7.41863
273,0,0.717857,107.44097,-7.43662
274,0,0.714338,107.44097,-7.45461
275,0,0.710512,107.44098,-7.47259
276,0,0.706382,107.44099,-7.49058
277,0,0.701958,107.44099,-7.50857
278,0,0.697257,107.441,-7.52655
279,0,0.692281,107.441,-7.54454
280,0,0.00991574,107.45893,-6.933
281,0,0.00999035,107.45893,-6.95099
282,0,0.713991,107.45894,-6.96897
283,0,0.718356,107.45895,-6.98696
284,0,0.722405,107.45895,-7.00495
285,0,0.726129,107.45896,-7.02293
286,0,0.729518,107.45896,-7.04092
287,0,0.732562,107.45897,-7.0589
288,0,0.735257,107.45898,-7.07689
289,0,0.737593,107.45898,-7.09488
290,0,0.739568,107.45899,-7.11286
291,0,0.741177,107.459,-7.13085
292,0,0.742415,107.459,-7.14884
293,0,0.743283,107.45901,-7.16682
294,0,0.743778,107.45902,-7.18481
295,0,0.743897,107.45902,-7.2028
296,0,0.743645,107.45903,-7.22078
297,0,0.74302,107.45904,-7.23877
298,0,0.742023,107.45904,-7.25676
299,0,0.740666,107.45905,-7.27474
300,0,0.739137,107.45905,-7.29273
301,0,0.737546,107.45906,-7.31071
302,0,0.735889,107.45907,-7.3287
303,0,0.734168,107.45907,-7.34669
304,0,0.7323,107.45908,-7.36467
305,0,0.730088,107.45909,-7.38266
306,0,0.72753,107.45909,-7.40065
307,0,0.724636,107.4591,-7.41863
